s,title_num,chapter_num,subchapter_num,section_num,title_name,chapter_name,subchapter_name,section_name,universal_citation,current_through,section_content_text,file_source
T10A_C10_SC1_SEC10A_10_1_1,10A,10,1,10A_10_1_1,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Purpose,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The purpose of this chapter is to establish: 1. Requirements for the interstate transfer of an inmate(s) for confinement in a correctional facility(ies); 1. Requirements for the interstate transfer of an inmate(s) for confinement in a correctional facility(ies); 2. Requirements for the interstate transfer of an inmate for the purpose of disposing of charges filed against the inmate in an out-of-State jurisdiction; 3. Requirements in accordance with the Uniform Criminal Extradition Act (see N.J.S.A. 2A:160-6 et seq.); 4. Requirements for the international transfer of an inmate(s) who is a citizen of a foreign country to the country of citizenship (see N.J.S.A. 30:7D-1); and 5. Provisions in accordance with the Vienna Convention on Consular Relations of 1963, Art. 36, 37, and 42 for the notification of a foreign consul when a foreign national is committed to the custody of the New Jersey Department of Corrections.",title-10a/chapter-10/subchapter-1/section-10a-10-1-1.html
T10A_C10_SC1_SEC10A_10_1_2,10A,10,1,10A_10_1_2,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Scope,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Unless otherwise stated, N.J.A.C. 10A:10-1 and 3 shall be applicable to the New Jersey Department of Corrections and State sentenced inmates transferred or being considered for a transfer. (b) Unless otherwise stated, N.J.A.C. 10A:10-1 and 3 shall be applicable to inmates from contracting states who are transferred outside their state of conviction to the New Jersey Department of Corrections. (c) Unless otherwise stated, N.J.A.C. 10A:10-1 and 4 shall be applicable to an inmate against whom a detainer has been filed by an out-of-State jurisdiction. (d) Unless otherwise stated, N.J.A.C. 10A:10-1 and 5 shall be applicable to inmates extradited from another state to the State of New Jersey and to inmates extradited from the State of New Jersey to another state. (e) Unless otherwise stated, N.J.A.C. 10A:10-1 and 6 shall be applicable to inmates having foreign citizenship who are transferred to their countries of citizenship pursuant to the treaty that exists between the United States and the foreign country. (f) Unless otherwise stated, N.J.A.C. 10A:10-1 and 7 shall be applicable to inmates who are not citizens or permanent resident aliens (green card holders) of the United States and who are foreign visitors or illegal aliens who have been committed to the custody of the New Jersey Department of Corrections.",title-10a/chapter-10/subchapter-1/section-10a-10-1-2.html
T10A_C10_SC1_SEC10A_10_1_3,10A,10,1,10A_10_1_3,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Definitions,,,,title-10a/chapter-10/subchapter-1/section-10a-10-1-3.html
T10A_C10_SC1_SEC10A_10_1_4,10A,10,1,10A_10_1_4,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Forms,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) The following forms related to the Interstate Corrections Compact are available from classification or social services staff: 1. 822-I Inmate Request for Transfer Under Interstate Corrections Compact; 1. 822-I Inmate Request for Transfer Under Interstate Corrections Compact; 2. 822-II Inmate Agreement of Waiver Regarding Interstate Transfer; 3. 822-III Notice of Intent To Seek Nonconsensual Interstate Transfer; 4. 822-IV Notice of Decision Regarding Interstate Transfer; 5. 822-V Receipt for Inmate as an Interstate Transferee; and 6. 822-VI Notice of Emergency Transfer.,title-10a/chapter-10/subchapter-1/section-10a-10-1-4.html
T10A_C10_SC1_SEC10A_10_1_5,10A,10,1,10A_10_1_5,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Records,,,,title-10a/chapter-10/subchapter-1/section-10a-10-1-5.html
T10A_C10_SC1_SEC10A_10_1_6,10A,10,1,10A_10_1_6,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,GENERAL PROVISIONS,Transfer of inmate property,,,,title-10a/chapter-10/subchapter-1/section-10a-10-1-6.html
T10A_C10_SC3_SEC10A_10_3_1,10A,10,3,10A_10_3_1,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Statutory authority,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a)N.J.S.A. 30:7C-1 et seq. established the Interstate Corrections Compact which provides that the State of New Jersey may enter into a contract with any other signatory state of the United States whereby prisoners from contracting states may be transferred between such states and confined in correctional facilities outside the state of conviction on a reciprocal basis or as otherwise provided for by the contract or a rider. (b) The Commissioner, New Jersey Department of Corrections, is the designated Administrator of the Interstate Corrections Compact. The Commissioner may delegate this authority to an appropriate designee who shall have full authority to act on all matters pertaining to the Interstate Corrections Compact.",title-10a/chapter-10/subchapter-3/section-10a-10-3-1.html
T10A_C10_SC3_SEC10A_10_3_10,10A,10,3,10A_10_3_10,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Investigation of nonconsensual transfers other than emergency transfer prompte...,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) At least 24 hours before the scheduled hearing, an investigator assigned by the Administrator shall visit the inmate to obtain names of prospective witnesses. (b) The investigator shall obtain written statements from the named witnesses and such statements shall be included in the Hearing Officer's final record of the proceedings. (c) The Hearing Officer may exercise discretion to limit the number of written statements obtained to avoid the collection of evidence which is merely repetitive or is not necessary for an adequate understanding of the case. (d) When the Hearing Officer determines that the inmate is either illiterate or cannot adequately collect and present evidence on the inmate's own behalf, the inmate may choose an inmate to provide assistance. Such choice may be made from a list of available inmate paralegals who are authorized by the Administrator to assist inmates with legal services.",title-10a/chapter-10/subchapter-3/section-10a-10-3-10.html
T10A_C10_SC3_SEC10A_10_3_11,10A,10,3,10A_10_3_11,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Hearing on nonconsensual transfers,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) A hearing shall be conducted and the inmate may appear in-person or the hearing may be arranged and provided through video teleconferencing (VTC), unless the inmate refuses to appear without the use of force, or where the Hearing Officer determines that the hearing cannot be held at the inmate's cell because of the inmate's disruptive behavior. (b) The Hearing Officer shall review the correctional facility reports, witnesses' statements and other material(s) offered as relevant and necessary for a proper understanding of the circumstances upon which the recommendation for out-of-State transfer is based. (c) Witnesses' statements shall be read to the inmate, unless disclosure would subject the witnesses or other persons to threat of harm and/or the statements or reports are marked confidential. Where the Hearing Officer determines that clarification is desirable, the Hearing Officer may call the witnesses to appear in-person or through VTC. (d) The inmate shall be permitted to speak on his or her own behalf and offer evidence to contest the referral for out-of-State transfer, or to provide the Hearing Officer with reasons for rejecting said recommendation. (e) The Hearing Officer shall not grant a postponement of a hearing unless there are exceptional circumstances, such as, sudden serious illness, security problems or a lockdown.",title-10a/chapter-10/subchapter-3/section-10a-10-3-11.html
T10A_C10_SC3_SEC10A_10_3_12,10A,10,3,10A_10_3_12,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Decision on nonconsensual transfers,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The inmate shall be provided with the Hearing Officer's decision in writing on Form 822-IV, Notice of Decision Regarding Interstate Transfer, within 15 business days after the hearing, due to the time and distance considerations involved in interstate information exchange. (b) The decision shall summarize the information relied upon and, if approved, the reason for the out-of-State transfer. (c) Confidential information shall be strictly safeguarded and appropriately marked for the inmate's classification file. (d) In instances when the Hearing Officer approves the nonconsensual transfer, a copy of the Hearing Officer's decision and appropriate classification data shall be forwarded to the Office of Interstate Services, Department of Corrections.",title-10a/chapter-10/subchapter-3/section-10a-10-3-12.html
